,Sub-Metric Code OR Sub-Activity Metric Code,Activity Metric Code,Sector Code,Industry Code,Disclosure Topic Code,Accounting Metric Code,Accounting Metric Category,Accounting Metric Unit of Measure,Sub-Metric Code,Sub-Metric Unit of Measure
352402,IF-EU-110a.1b,,IF,IF-EU,IF-EU-110a,IF-EU-110a.1,Quantitative,"Metric tons (t) CO₂-e, Percentage (%)",IF-EU-110a.1b,Percentage (%)
352403,IF-EU-110a.1c,,IF,IF-EU,IF-EU-110a,IF-EU-110a.1,Quantitative,"Metric tons (t) CO₂-e, Percentage (%)",IF-EU-110a.1c,Percentage (%)
352404,IF-EU-110a.2a,,IF,IF-EU,IF-EU-110a,IF-EU-110a.2,Quantitative,Metric tons (t) CO₂-e,IF-EU-110a.2a,Metric tons (t) CO₂-e
352405,IF-EU-110a.3a,,IF,IF-EU,IF-EU-110a,IF-EU-110a.3,Discussion and Analysis,,IF-EU-110a.3a,
352406,IF-EU-110a.4a,,IF,IF-EU,IF-EU-110a,IF-EU-110a.4,Quantitative,"Number, Percentage (%)",IF-EU-110a.4a,Number
352407,IF-EU-110a.4b,,IF,IF-EU,IF-EU-110a,IF-EU-110a.4,Quantitative,"Number, Percentage (%)",IF-EU-110a.4b,Percentage (%)
352408,IF-EU-110a.4c,,IF,IF-EU,IF-EU-110a,IF-EU-110a.4,Quantitative,"Number, Percentage (%)",IF-EU-110a.4c,
352409,IF-EU-120a.1a,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1a,Metric tons (t)
352410,IF-EU-120a.1b,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1b,Metric tons (t)
352411,IF-EU-120a.1c,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1c,Metric tons (t)
352412,IF-EU-120a.1d,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1d,Metric tons (t)
352413,IF-EU-120a.1e,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1e,Metric tons (t)
352414,IF-EU-120a.1f,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1f,Percentage (%)
352415,IF-EU-120a.1g,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1g,Percentage (%)
352416,IF-EU-120a.1h,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1h,Percentage (%)
352417,IF-EU-120a.1i,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1i,Percentage (%)
352418,IF-EU-120a.1j,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1j,Percentage (%)
352419,IF-EU-140a.1a,,IF,IF-EU,IF-EU-140a,IF-EU-140a.1,Quantitative,"Thousand cubic meters (m³), Percentage (%)",IF-EU-140a.1a,Thousand cubic meters (m³)
352420,IF-EU-140a.1b,,IF,IF-EU,IF-EU-140a,IF-EU-140a.1,Quantitative,"Thousand cubic meters (m³), Percentage (%)",IF-EU-140a.1b,Thousand cubic meters (m³)
352421,IF-EU-140a.1c,,IF,IF-EU,IF-EU-140a,IF-EU-140a.1,Quantitative,"Thousand cubic meters (m³), Percentage (%)",IF-EU-140a.1c,Percentage (%)
352422,IF-EU-140a.1d,,IF,IF-EU,IF-EU-140a,IF-EU-140a.1,Quantitative,"Thousand cubic meters (m³), Percentage (%)",IF-EU-140a.1d,Percentage (%)
352423,IF-EU-140a.2a,,IF,IF-EU,IF-EU-140a,IF-EU-140a.2,Quantitative,Number,IF-EU-140a.2a,Number
352424,IF-EU-140a.3a,,IF,IF-EU,IF-EU-140a,IF-EU-140a.3,Discussion and Analysis,,IF-EU-140a.3a,
352425,IF-EU-150a.1a,,IF,IF-EU,IF-EU-150a,IF-EU-150a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-150a.1a,Metric tons (t)
352426,IF-EU-150a.1b,,IF,IF-EU,IF-EU-150a,IF-EU-150a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-150a.1b,Percentage (%)
352427,IF-EU-150a.2a,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2a,Number
352428,IF-EU-150a.2b,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2b,Number
352429,IF-EU-150a.2c,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2c,Number
352430,IF-EU-150a.2d,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2d,Number
352431,IF-EU-150a.2e,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2e,Number
352432,IF-EU-150a.2f,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2f,Number
352433,IF-EU-150a.2g,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2g,Number
352434,IF-EU-150a.2h,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2h,Number
352435,IF-EU-150a.2i,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2i,Number
352436,IF-EU-150a.2j,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2j,Number
352437,IF-EU-150a.2k,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2k,Number
352438,IF-EU-150a.2l,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2l,Number
352439,IF-EU-150a.2m,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2m,Number
352440,IF-EU-150a.2n,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2n,Number
352441,IF-EU-150a.2o,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2o,Number
352442,IF-EU-150a.2p,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2p,Number
352443,IF-EU-150a.2q,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2q,Number
352444,IF-EU-240a.1a,,IF,IF-EU,IF-EU-240a,IF-EU-240a.1,Quantitative,Rate,IF-EU-240a.1a,U.S. dollars ($)
352445,IF-EU-240a.1b,,IF,IF-EU,IF-EU-240a,IF-EU-240a.1,Quantitative,Rate,IF-EU-240a.1b,Reporting currency
352446,IF-EU-240a.1c,,IF,IF-EU,IF-EU-240a,IF-EU-240a.1,Quantitative,Rate,IF-EU-240a.1c,Reporting currency
352447,IF-EU-240a.2a,,IF,IF-EU,IF-EU-240a,IF-EU-240a.2,Quantitative,Reporting currency,IF-EU-240a.2a,Reporting currency
352448,IF-EU-240a.2b,,IF,IF-EU,IF-EU-240a,IF-EU-240a.2,Quantitative,Reporting currency,IF-EU-240a.2b,Reporting currency
352449,IF-EU-240a.3a,,IF,IF-EU,IF-EU-240a,IF-EU-240a.3,Quantitative,"Number, Percentage (%)",IF-EU-240a.3a,Number
352450,IF-EU-240a.3b,,IF,IF-EU,IF-EU-240a,IF-EU-240a.3,Quantitative,"Number, Percentage (%)",IF-EU-240a.3b,Percentage (%)
352451,IF-EU-240a.4a,,IF,IF-EU,IF-EU-240a,IF-EU-240a.4,Discussion and Analysis,,IF-EU-240a.4a,
352452,IF-EU-320a.1a,,IF,IF-EU,IF-EU-320a,IF-EU-320a.1,Quantitative,Rate,IF-EU-320a.1a,Rate
352453,IF-EU-320a.1b,,IF,IF-EU,IF-EU-320a,IF-EU-320a.1,Quantitative,Rate,IF-EU-320a.1b,Rate
352454,IF-EU-320a.1c,,IF,IF-EU,IF-EU-320a,IF-EU-320a.1,Quantitative,Rate,IF-EU-320a.1c,Rate
352455,IF-EU-420a.1a,,IF,IF-EU,IF-EU-420a,IF-EU-420a.1,Quantitative,Percentage (%),IF-EU-420a.1a,Percentage (%)
352456,IF-EU-420a.1b,,IF,IF-EU,IF-EU-420a,IF-EU-420a.1,Quantitative,Percentage (%),IF-EU-420a.1b,Percentage (%)
352457,IF-EU-420a.2a,,IF,IF-EU,IF-EU-420a,IF-EU-420a.2,Quantitative,Percentage (%) by megawatt hours (MWh),IF-EU-420a.2a,Percentage (%) by megawatt hours (MWh)
352458,IF-EU-420a.2b,,IF,IF-EU,IF-EU-420a,IF-EU-420a.2,Quantitative,Percentage (%) by megawatt hours (MWh),IF-EU-420a.2b,
352459,IF-EU-420a.3a,,IF,IF-EU,IF-EU-420a,IF-EU-420a.3,Quantitative,Megawatt hours (MWh),IF-EU-420a.3a,Megawatt hours (MWh)
352460,IF-EU-420a.3b,,IF,IF-EU,IF-EU-420a,IF-EU-420a.3,Quantitative,Megawatt hours (MWh),IF-EU-420a.3b,
352461,IF-EU-540a.1a,,IF,IF-EU,IF-EU-540a,IF-EU-540a.1,Quantitative,Number,IF-EU-540a.1a,Number
352462,IF-EU-540a.1b,,IF,IF-EU,IF-EU-540a,IF-EU-540a.1,Quantitative,Number,IF-EU-540a.1b,Number
352463,IF-EU-540a.1c,,IF,IF-EU,IF-EU-540a,IF-EU-540a.1,Quantitative,Number,IF-EU-540a.1c,Number
352464,IF-EU-540a.1d,,IF,IF-EU,IF-EU-540a,IF-EU-540a.1,Quantitative,Number,IF-EU-540a.1d,Number
352465,IF-EU-540a.1e,,IF,IF-EU,IF-EU-540a,IF-EU-540a.1,Quantitative,Number,IF-EU-540a.1e,Number
352466,IF-EU-540a.2a,,IF,IF-EU,IF-EU-540a,IF-EU-540a.2,Discussion and Analysis,,IF-EU-540a.2a,
352467,IF-EU-550a.1a,,IF,IF-EU,IF-EU-550a,IF-EU-550a.1,Quantitative,Number,IF-EU-550a.1a,Number
352468,IF-EU-550a.2a,,IF,IF-EU,IF-EU-550a,IF-EU-550a.2,Quantitative,"Minutes, Number",IF-EU-550a.2a,Minutes
352469,IF-EU-550a.2b,,IF,IF-EU,IF-EU-550a,IF-EU-550a.2,Quantitative,"Minutes, Number",IF-EU-550a.2b,Number
352470,IF-EU-550a.2c,,IF,IF-EU,IF-EU-550a,IF-EU-550a.2,Quantitative,"Minutes, Number",IF-EU-550a.2c,Minutes
352471,IF-EU-550a.2d,,IF,IF-EU,IF-EU-550a,IF-EU-550a.2,Quantitative,"Minutes, Number",IF-EU-550a.2d,
355265,IF-EU-000.Aa,,IF,IF-EU,IF-EU-000.A,,Quantitative,Number,IF-EU-000.Aa,Number
355266,IF-EU-000.Ab,,IF,IF-EU,IF-EU-000.A,,Quantitative,Number,IF-EU-000.Ab,Number
355267,IF-EU-000.Ac,,IF,IF-EU,IF-EU-000.A,,Quantitative,Number,IF-EU-000.Ac,Number
355268,IF-EU-000.Ba,,IF,IF-EU,IF-EU-000.B,,Quantitative,Megawatt hours (MWh),IF-EU-000.Ba,Megawatt hours (MWh)
355269,IF-EU-000.Bb,,IF,IF-EU,IF-EU-000.B,,Quantitative,Megawatt hours (MWh),IF-EU-000.Bb,Megawatt hours (MWh)
355270,IF-EU-000.Bc,,IF,IF-EU,IF-EU-000.B,,Quantitative,Megawatt hours (MWh),IF-EU-000.Bc,Megawatt hours (MWh)
355271,IF-EU-000.Bd,,IF,IF-EU,IF-EU-000.B,,Quantitative,Megawatt hours (MWh),IF-EU-000.Bd,Megawatt hours (MWh)
355272,IF-EU-000.Be,,IF,IF-EU,IF-EU-000.B,,Quantitative,Megawatt hours (MWh),IF-EU-000.Be,Megawatt hours (MWh)
355273,IF-EU-000.Ca,,IF,IF-EU,IF-EU-000.C,,Quantitative,Kilometers (km),IF-EU-000.Ca,Kilometers (km)
355274,IF-EU-000.Da,,IF,IF-EU,IF-EU-000.D,,Quantitative,"Megawatt hours (MWh), Percentage (%)",IF-EU-000.Da,Megawatt hours (MWh)
355275,IF-EU-000.Db,,IF,IF-EU,IF-EU-000.D,,Quantitative,"Megawatt hours (MWh), Percentage (%)",IF-EU-000.Db,Percentage (%)
355276,IF-EU-000.Dc,,IF,IF-EU,IF-EU-000.D,,Quantitative,"Megawatt hours (MWh), Percentage (%)",IF-EU-000.Dc,Percentage (%)
355277,IF-EU-000.Ea,,IF,IF-EU,IF-EU-000.E,,Quantitative,Megawatt hours (MWh),IF-EU-000.Ea,Megawatt hours (MWh)
355278,IF-EU-110a.1a,,IF,IF-EU,IF-EU-110a,IF-EU-110a.1,Quantitative,"Metric tons (t) CO₂-e, Percentage (%)",IF-EU-110a.1a,Metric tons (t)  CO₂-e
355279,IF-EU-110a.1b,,IF,IF-EU,IF-EU-110a,IF-EU-110a.1,Quantitative,"Metric tons (t) CO₂-e, Percentage (%)",IF-EU-110a.1b,Percentage (%)
355280,IF-EU-110a.1c,,IF,IF-EU,IF-EU-110a,IF-EU-110a.1,Quantitative,"Metric tons (t) CO₂-e, Percentage (%)",IF-EU-110a.1c,Percentage (%)
355281,IF-EU-110a.2a,,IF,IF-EU,IF-EU-110a,IF-EU-110a.2,Quantitative,Metric tons (t) CO₂-e,IF-EU-110a.2a,Metric tons (t) CO₂-e
355282,IF-EU-110a.3a,,IF,IF-EU,IF-EU-110a,IF-EU-110a.3,Discussion and Analysis,,IF-EU-110a.3a,
355283,IF-EU-110a.4a,,IF,IF-EU,IF-EU-110a,IF-EU-110a.4,Quantitative,"Number, Percentage (%)",IF-EU-110a.4a,Number
355284,IF-EU-110a.4b,,IF,IF-EU,IF-EU-110a,IF-EU-110a.4,Quantitative,"Number, Percentage (%)",IF-EU-110a.4b,Percentage (%)
355285,IF-EU-110a.4c,,IF,IF-EU,IF-EU-110a,IF-EU-110a.4,Quantitative,"Number, Percentage (%)",IF-EU-110a.4c,
355286,IF-EU-120a.1a,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1a,Metric tons (t)
355287,IF-EU-120a.1b,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1b,Metric tons (t)
355288,IF-EU-120a.1c,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1c,Metric tons (t)
355289,IF-EU-120a.1d,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1d,Metric tons (t)
355290,IF-EU-120a.1e,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1e,Metric tons (t)
355291,IF-EU-120a.1f,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1f,Percentage (%)
355292,IF-EU-120a.1g,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1g,Percentage (%)
355293,IF-EU-120a.1h,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1h,Percentage (%)
355294,IF-EU-120a.1i,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1i,Percentage (%)
355295,IF-EU-120a.1j,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1j,Percentage (%)
355296,IF-EU-140a.1a,,IF,IF-EU,IF-EU-140a,IF-EU-140a.1,Quantitative,"Thousand cubic meters (m³), Percentage (%)",IF-EU-140a.1a,Thousand cubic meters (m³)
355297,IF-EU-140a.1b,,IF,IF-EU,IF-EU-140a,IF-EU-140a.1,Quantitative,"Thousand cubic meters (m³), Percentage (%)",IF-EU-140a.1b,Thousand cubic meters (m³)
355298,IF-EU-140a.1c,,IF,IF-EU,IF-EU-140a,IF-EU-140a.1,Quantitative,"Thousand cubic meters (m³), Percentage (%)",IF-EU-140a.1c,Percentage (%)
355299,IF-EU-140a.1d,,IF,IF-EU,IF-EU-140a,IF-EU-140a.1,Quantitative,"Thousand cubic meters (m³), Percentage (%)",IF-EU-140a.1d,Percentage (%)
355300,IF-EU-140a.2a,,IF,IF-EU,IF-EU-140a,IF-EU-140a.2,Quantitative,Number,IF-EU-140a.2a,Number
355301,IF-EU-140a.3a,,IF,IF-EU,IF-EU-140a,IF-EU-140a.3,Discussion and Analysis,,IF-EU-140a.3a,
355302,IF-EU-150a.1a,,IF,IF-EU,IF-EU-150a,IF-EU-150a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-150a.1a,Metric tons (t)
355303,IF-EU-150a.1b,,IF,IF-EU,IF-EU-150a,IF-EU-150a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-150a.1b,Percentage (%)
355304,IF-EU-150a.2a,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2a,Number
355305,IF-EU-150a.2b,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2b,Number
355306,IF-EU-150a.2c,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2c,Number
355307,IF-EU-150a.2d,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2d,Number
355308,IF-EU-150a.2e,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2e,Number
355309,IF-EU-150a.2f,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2f,Number
355310,IF-EU-150a.2g,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2g,Number
355311,IF-EU-150a.2h,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2h,Number
355312,IF-EU-150a.2i,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2i,Number
355313,IF-EU-150a.2j,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2j,Number
355314,IF-EU-150a.2k,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2k,Number
355315,IF-EU-150a.2l,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2l,Number
355316,IF-EU-150a.2m,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2m,Number
355317,IF-EU-150a.2n,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2n,Number
355318,IF-EU-150a.2o,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2o,Number
355319,IF-EU-150a.2p,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2p,Number
355320,IF-EU-150a.2q,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2q,Number
355321,IF-EU-240a.1a,,IF,IF-EU,IF-EU-240a,IF-EU-240a.1,Quantitative,Rate,IF-EU-240a.1a,U.S. dollars ($)
355322,IF-EU-240a.1b,,IF,IF-EU,IF-EU-240a,IF-EU-240a.1,Quantitative,Rate,IF-EU-240a.1b,Reporting currency
355323,IF-EU-240a.1c,,IF,IF-EU,IF-EU-240a,IF-EU-240a.1,Quantitative,Rate,IF-EU-240a.1c,Reporting currency
355324,IF-EU-240a.2a,,IF,IF-EU,IF-EU-240a,IF-EU-240a.2,Quantitative,Reporting currency,IF-EU-240a.2a,Reporting currency
355325,IF-EU-240a.2b,,IF,IF-EU,IF-EU-240a,IF-EU-240a.2,Quantitative,Reporting currency,IF-EU-240a.2b,Reporting currency
355326,IF-EU-240a.3a,,IF,IF-EU,IF-EU-240a,IF-EU-240a.3,Quantitative,"Number, Percentage (%)",IF-EU-240a.3a,Number
355327,IF-EU-240a.3b,,IF,IF-EU,IF-EU-240a,IF-EU-240a.3,Quantitative,"Number, Percentage (%)",IF-EU-240a.3b,Percentage (%)
355328,IF-EU-240a.4a,,IF,IF-EU,IF-EU-240a,IF-EU-240a.4,Discussion and Analysis,,IF-EU-240a.4a,
355329,IF-EU-320a.1a,,IF,IF-EU,IF-EU-320a,IF-EU-320a.1,Quantitative,Rate,IF-EU-320a.1a,Rate
355330,IF-EU-320a.1b,,IF,IF-EU,IF-EU-320a,IF-EU-320a.1,Quantitative,Rate,IF-EU-320a.1b,Rate
355331,IF-EU-320a.1c,,IF,IF-EU,IF-EU-320a,IF-EU-320a.1,Quantitative,Rate,IF-EU-320a.1c,Rate
355332,IF-EU-420a.1a,,IF,IF-EU,IF-EU-420a,IF-EU-420a.1,Quantitative,Percentage (%),IF-EU-420a.1a,Percentage (%)
355333,IF-EU-420a.1b,,IF,IF-EU,IF-EU-420a,IF-EU-420a.1,Quantitative,Percentage (%),IF-EU-420a.1b,Percentage (%)
355334,IF-EU-420a.2a,,IF,IF-EU,IF-EU-420a,IF-EU-420a.2,Quantitative,Percentage (%) by megawatt hours (MWh),IF-EU-420a.2a,Percentage (%) by megawatt hours (MWh)
355335,IF-EU-420a.2b,,IF,IF-EU,IF-EU-420a,IF-EU-420a.2,Quantitative,Percentage (%) by megawatt hours (MWh),IF-EU-420a.2b,
355336,IF-EU-420a.3a,,IF,IF-EU,IF-EU-420a,IF-EU-420a.3,Quantitative,Megawatt hours (MWh),IF-EU-420a.3a,Megawatt hours (MWh)
355337,IF-EU-420a.3b,,IF,IF-EU,IF-EU-420a,IF-EU-420a.3,Quantitative,Megawatt hours (MWh),IF-EU-420a.3b,
355338,IF-EU-540a.1a,,IF,IF-EU,IF-EU-540a,IF-EU-540a.1,Quantitative,Number,IF-EU-540a.1a,Number
355339,IF-EU-540a.1b,,IF,IF-EU,IF-EU-540a,IF-EU-540a.1,Quantitative,Number,IF-EU-540a.1b,Number
355340,IF-EU-540a.1c,,IF,IF-EU,IF-EU-540a,IF-EU-540a.1,Quantitative,Number,IF-EU-540a.1c,Number
355341,IF-EU-540a.1d,,IF,IF-EU,IF-EU-540a,IF-EU-540a.1,Quantitative,Number,IF-EU-540a.1d,Number
355342,IF-EU-540a.1e,,IF,IF-EU,IF-EU-540a,IF-EU-540a.1,Quantitative,Number,IF-EU-540a.1e,Number
355343,IF-EU-540a.2a,,IF,IF-EU,IF-EU-540a,IF-EU-540a.2,Discussion and Analysis,,IF-EU-540a.2a,
355344,IF-EU-550a.1a,,IF,IF-EU,IF-EU-550a,IF-EU-550a.1,Quantitative,Number,IF-EU-550a.1a,Number
355345,IF-EU-550a.2a,,IF,IF-EU,IF-EU-550a,IF-EU-550a.2,Quantitative,"Minutes, Number",IF-EU-550a.2a,Minutes
355346,IF-EU-550a.2b,,IF,IF-EU,IF-EU-550a,IF-EU-550a.2,Quantitative,"Minutes, Number",IF-EU-550a.2b,Number
355347,IF-EU-550a.2c,,IF,IF-EU,IF-EU-550a,IF-EU-550a.2,Quantitative,"Minutes, Number",IF-EU-550a.2c,Minutes
355348,IF-EU-550a.2d,,IF,IF-EU,IF-EU-550a,IF-EU-550a.2,Quantitative,"Minutes, Number",IF-EU-550a.2d,
358142,IF-EU-000.Aa,,IF,IF-EU,IF-EU-000.A,,Quantitative,Number,IF-EU-000.Aa,Number
358143,IF-EU-000.Ab,,IF,IF-EU,IF-EU-000.A,,Quantitative,Number,IF-EU-000.Ab,Number
358144,IF-EU-000.Ac,,IF,IF-EU,IF-EU-000.A,,Quantitative,Number,IF-EU-000.Ac,Number
358145,IF-EU-000.Ba,,IF,IF-EU,IF-EU-000.B,,Quantitative,Megawatt hours (MWh),IF-EU-000.Ba,Megawatt hours (MWh)
358146,IF-EU-000.Bb,,IF,IF-EU,IF-EU-000.B,,Quantitative,Megawatt hours (MWh),IF-EU-000.Bb,Megawatt hours (MWh)
358147,IF-EU-000.Bc,,IF,IF-EU,IF-EU-000.B,,Quantitative,Megawatt hours (MWh),IF-EU-000.Bc,Megawatt hours (MWh)
358148,IF-EU-000.Bd,,IF,IF-EU,IF-EU-000.B,,Quantitative,Megawatt hours (MWh),IF-EU-000.Bd,Megawatt hours (MWh)
358149,IF-EU-000.Be,,IF,IF-EU,IF-EU-000.B,,Quantitative,Megawatt hours (MWh),IF-EU-000.Be,Megawatt hours (MWh)
358150,IF-EU-000.Ca,,IF,IF-EU,IF-EU-000.C,,Quantitative,Kilometers (km),IF-EU-000.Ca,Kilometers (km)
358151,IF-EU-000.Da,,IF,IF-EU,IF-EU-000.D,,Quantitative,"Megawatt hours (MWh), Percentage (%)",IF-EU-000.Da,Megawatt hours (MWh)
358152,IF-EU-000.Db,,IF,IF-EU,IF-EU-000.D,,Quantitative,"Megawatt hours (MWh), Percentage (%)",IF-EU-000.Db,Percentage (%)
358153,IF-EU-000.Dc,,IF,IF-EU,IF-EU-000.D,,Quantitative,"Megawatt hours (MWh), Percentage (%)",IF-EU-000.Dc,Percentage (%)
358154,IF-EU-000.Ea,,IF,IF-EU,IF-EU-000.E,,Quantitative,Megawatt hours (MWh),IF-EU-000.Ea,Megawatt hours (MWh)
358155,IF-EU-110a.1a,,IF,IF-EU,IF-EU-110a,IF-EU-110a.1,Quantitative,"Metric tons (t) CO₂-e, Percentage (%)",IF-EU-110a.1a,Metric tons (t)  CO₂-e
358156,IF-EU-110a.1b,,IF,IF-EU,IF-EU-110a,IF-EU-110a.1,Quantitative,"Metric tons (t) CO₂-e, Percentage (%)",IF-EU-110a.1b,Percentage (%)
358157,IF-EU-110a.1c,,IF,IF-EU,IF-EU-110a,IF-EU-110a.1,Quantitative,"Metric tons (t) CO₂-e, Percentage (%)",IF-EU-110a.1c,Percentage (%)
358158,IF-EU-110a.2a,,IF,IF-EU,IF-EU-110a,IF-EU-110a.2,Quantitative,Metric tons (t) CO₂-e,IF-EU-110a.2a,Metric tons (t) CO₂-e
358159,IF-EU-110a.3a,,IF,IF-EU,IF-EU-110a,IF-EU-110a.3,Discussion and Analysis,,IF-EU-110a.3a,
358160,IF-EU-110a.4a,,IF,IF-EU,IF-EU-110a,IF-EU-110a.4,Quantitative,"Number, Percentage (%)",IF-EU-110a.4a,Number
358161,IF-EU-110a.4b,,IF,IF-EU,IF-EU-110a,IF-EU-110a.4,Quantitative,"Number, Percentage (%)",IF-EU-110a.4b,Percentage (%)
358162,IF-EU-110a.4c,,IF,IF-EU,IF-EU-110a,IF-EU-110a.4,Quantitative,"Number, Percentage (%)",IF-EU-110a.4c,
358163,IF-EU-120a.1a,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1a,Metric tons (t)
358164,IF-EU-120a.1b,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1b,Metric tons (t)
