,Sub-Metric Code OR Sub-Activity Metric Code,Activity Metric Code,Sector Code,Industry Code,Disclosure Topic Code,Accounting Metric Code,Accounting Metric Category,Accounting Metric Unit of Measure,Sub-Metric Code,Sub-Metric Unit of Measure
6353,FB-AG-320a.1b,,FB,FB-AG,FB-AG-320a,FB-AG-320a.1,Quantitative,Rate,FB-AG-320a.1b,Rate
6354,FB-AG-320a.1c,,FB,FB-AG,FB-AG-320a,FB-AG-320a.1,Quantitative,Rate,FB-AG-320a.1c,Rate
6355,FB-AG-320a.1d,,FB,FB-AG,FB-AG-320a,FB-AG-320a.1,Quantitative,Rate,FB-AG-320a.1d,Rate
6356,FB-AG-320a.1e,,FB,FB-AG,FB-AG-320a,FB-AG-320a.1,Quantitative,Rate,FB-AG-320a.1e,Rate
6357,FB-AG-320a.1f,,FB,FB-AG,FB-AG-320a,FB-AG-320a.1,Quantitative,Rate,FB-AG-320a.1f,Rate
6358,FB-AG-430a.1a,,FB,FB-AG,FB-AG-430a,FB-AG-430a.1,Quantitative,Percentage (%) by cost,FB-AG-430a.1a,Percentage (%) by cost
6359,FB-AG-430a.1b,,FB,FB-AG,FB-AG-430a,FB-AG-430a.1,Quantitative,Percentage (%) by cost,FB-AG-430a.1b,Percentage (%) by cost
6360,FB-AG-430a.2a,,FB,FB-AG,FB-AG-430a,FB-AG-430a.2,Quantitative,Rate,FB-AG-430a.2a,Rate
6361,FB-AG-430a.2b,,FB,FB-AG,FB-AG-430a,FB-AG-430a.2,Quantitative,Rate,FB-AG-430a.2b,Rate
6362,FB-AG-430a.2c,,FB,FB-AG,FB-AG-430a,FB-AG-430a.2,Quantitative,Rate,FB-AG-430a.2c,Rate
6363,FB-AG-430a.2d,,FB,FB-AG,FB-AG-430a,FB-AG-430a.2,Quantitative,Rate,FB-AG-430a.2d,Rate
6364,FB-AG-430a.3a,,FB,FB-AG,FB-AG-430a,FB-AG-430a.3,Discussion and Analysis,,FB-AG-430a.3a,
6365,FB-AG-430b.1a,,FB,FB-AG,FB-AG-430b,FB-AG-430b.1,Discussion and Analysis,,FB-AG-430b.1a,
6366,FB-AG-440a.1a,,FB,FB-AG,FB-AG-440a,FB-AG-440a.1,Discussion and Analysis,,FB-AG-440a.1a,
6367,FB-AG-440a.2a,,FB,FB-AG,FB-AG-440a,FB-AG-440a.2,Quantitative,Percentage (%) by cost,FB-AG-440a.2a,Percentage (%) by cost
11274,TR-AF-000.Aa,,TR,TR-AF,TR-AF-000.A,,Quantitative,RTK,TR-AF-000.Aa,RTK
11275,TR-AF-000.Ab,,TR,TR-AF,TR-AF-000.A,,Quantitative,RTK,TR-AF-000.Ab,RTK
11276,TR-AF-000.Ba,,TR,TR-AF,TR-AF-000.B,,Quantitative,Rate,TR-AF-000.Ba,Rate
11277,TR-AF-000.Bb,,TR,TR-AF,TR-AF-000.B,,Quantitative,Rate,TR-AF-000.Bb,Rate
11278,TR-AF-000.Ca,,TR,TR-AF,TR-AF-000.C,,Quantitative,Number,TR-AF-000.Ca,Number
